product,quality,bytes,ship_px,psnr
crop wake q80,80,7567,155.000064,45.026605856640856
crop wake q95,95,13594,155.000064,61.115416283530436
crop wake jp2,-1,69308,155.000064,99.0
crop tight q20,20,1395,73.999872,25.01412592195646
crop tight q40,40,1758,73.999872,27.224788080280664
crop tight q60,60,2113,73.999872,28.9490725104842
crop tight q80,80,2846,73.999872,32.94954865354319
crop tight q95,95,4781,73.999872,42.17419308506679
crop tight jp2,-1,5499,73.999872,36.697365617487435
crop context q20,20,1723,73.999872,26.17112883944388
crop context q40,40,2242,73.999872,28.300990180593093
crop context q60,60,2731,73.999872,30.15102467411857
crop context q80,80,3739,73.999872,34.26648342122561
crop context q95,95,6659,73.999872,43.471044761941
crop context jp2,-1,10517,73.999872,43.196338763593765
crop wake q20,20,2187,73.999872,28.467722375779157
crop wake q40,40,2774,73.999872,30.878305369279815
crop wake q60,60,3411,73.999872,32.773058794670746
crop wake q80,80,4862,73.999872,36.87499319808766
crop wake q95,95,9171,73.999872,46.189276308968374
crop wake jp2,-1,23408,73.999872,51.31247233406971
crop tight q20,20,798,36.999936,26.570275516789465
crop tight q40,40,899,36.999936,28.404390746348525
crop tight q60,60,990,36.999936,30.100714736648868
crop tight q80,80,1192,36.999936,33.32007870421283
crop tight q95,95,1773,36.999936,41.88181174878706
crop tight jp2,-1,1332,36.999936,33.240518949319494
crop context q20,20,918,36.999936,27.557563047326678
crop context q40,40,1085,36.999936,29.6688762764365
crop context q60,60,1219,36.999936,31.21037608821254
crop context q80,80,1539,36.999936,34.25117388469255
crop context q95,95,2506,36.999936,42.554951908278504
crop context jp2,-1,2668,36.999936,38.10050903475778
crop wake q20,20,1186,36.999936,28.32242847758655
crop wake q40,40,1480,36.999936,30.39280043321058
crop wake q60,60,1745,36.999936,31.99590837833439
crop wake q80,80,2348,36.999936,35.05282442956727
crop wake q95,95,4193,36.999936,43.58584907577839
crop wake jp2,-1,6361,36.999936,43.37220893721086
crop tight q20,20,687,19.000320000000002,23.912182158791104
crop tight q40,40,725,19.000320000000002,26.087118198053496
crop tight q60,60,758,19.000320000000002,27.971441552730628
crop tight q80,80,822,19.000320000000002,31.68378709712282
crop tight q95,95,994,19.000320000000002,41.18499318659673
crop context q20,20,720,19.000320000000002,24.12784824849417
crop context q40,40,777,19.000320000000002,26.621659366733063
crop context q60,60,827,19.000320000000002,28.488958265955795
crop context q80,80,931,19.000320000000002,32.77828467043034
crop context q95,95,1205,19.000320000000002,41.26874575275189
crop wake q20,20,851,19.000320000000002,24.439098739739286
crop wake q40,40,952,19.000320000000002,26.37864191356041
crop wake q60,60,1097,19.000320000000002,28.270716868986252
crop wake q80,80,1298,19.000320000000002,32.68119231700152
crop wake q95,95,1921,19.000320000000002,41.885672795069254
crop wake jp2,-1,1741,19.000320000000002,31.97105367136308
crop tight q20,20,1886,145.99987199999998,30.329476110200254
crop tight q40,40,2430,145.99987199999998,32.43131291334327
crop tight q60,60,2922,145.99987199999998,33.984342073201134
crop tight q80,80,4223,145.99987199999998,36.8716365675806
crop tight q95,95,8602,145.99987199999998,45.214994784985024
crop tight jp2,-1,20970,145.99987199999998,50.39744029060715
crop context q20,20,2307,145.99987199999998,32.69203447308263
crop context q40,40,2827,145.99987199999998,34.887421152002084
crop context q60,60,3369,145.99987199999998,36.67209189942158
crop context q80,80,4987,145.99987199999998,39.349222201226226
crop context q95,95,11405,145.99987199999998,47.18997205348941
crop context jp2,-1,40726,145.99987199999998,59.136325612192906
crop wake q20,20,3530,145.99987199999998,35.263825594046565
crop wake q40,40,4129,145.99987199999998,37.8637370247593
crop wake q60,60,4756,145.99987199999998,40.16237145609696
crop wake q80,80,7352,145.99987199999998,42.86188413618752
crop wake q95,95,18420,145.99987199999998,50.524425027959026
crop wake jp2,-1,83765,145.99987199999998,99.0
thumbnail 96px,60,789,,
whole tile q40,40,10485,,42.784464865752916
whole tile q60,60,12987,,43.607492647609575
crop tight q20,20,636,10.000128,32.786206673040525
crop tight q40,40,641,10.000128,34.58590930142446
crop tight q60,60,645,10.000128,36.056084813204144
crop tight q80,80,658,10.000128,43.73856458208082
crop tight q95,95,688,10.000128,49.6986647035559
crop context q20,20,633,10.000128,34.342851441535366
crop context q40,40,641,10.000128,36.22165334390249
crop context q60,60,649,10.000128,37.87070873783284
crop context q80,80,658,10.000128,39.415013541306934
crop context q95,95,704,10.000128,44.470467160010045
crop wake q20,20,651,10.000128,36.6144495597381
crop wake q40,40,657,10.000128,39.07421195364391
crop wake q60,60,668,10.000128,40.18490077416449
crop wake q80,80,692,10.000128,42.87430981889413
crop wake q95,95,795,10.000128,47.03884438938262
crop tight q20,20,633,8.000256,30.92665811043058
crop tight q40,40,639,8.000256,33.6312287711189
crop tight q60,60,643,8.000256,34.52130286121795
crop tight q80,80,651,8.000256,37.05368034613394
crop tight q95,95,676,8.000256,43.86441944526233
crop context q20,20,635,8.000256,33.16445436644775
crop context q40,40,639,8.000256,35.10212586357929
crop context q60,60,644,8.000256,35.71194110027781
crop context q80,80,655,8.000256,38.474714277881255
crop context q95,95,694,8.000256,45.50540352462271
crop wake q20,20,649,8.000256,35.36335528214197
crop wake q40,40,656,8.000256,37.43440778793647
crop wake q60,60,662,8.000256,37.69217792242317
crop wake q80,80,686,8.000256,39.993849171657004
crop wake q95,95,772,8.000256,44.573741969334094
crop tight q20,20,632,8.000256,33.40161468000829
crop tight q40,40,634,8.000256,35.21070573982919
crop tight q60,60,640,8.000256,37.21348300435291
