policy,scale,rise_h,capacity_MB,queue_items,queue_MB,greedy,optimum,bound,gap,buckets,bucket_bytes,resolution,valid,tiles,rep
Value-greedy (ours),operational,11.60635736611111,60.079759210938946,43629,104.45193923394734,20548.29,20548.29,20936.06999995549,0.0,4000,15019.939802734736,0.002663126518837116,True,80000,0
Value-greedy (ours),small,11.60635736611111,0.06800605168203416,100,0.11823223113948797,33.55,33.55000000000006,33.59810145838775,1.906075893246167e-15,3400,20.0,2.0,True,80000,0
Value-greedy (ours),operational,13.210484531111112,8.577590168261082,32846,58.76020765617764,2871.57,2871.57,3086.1947330641133,0.0,4000,2144.3975420652705,0.018653257717072356,True,80000,0
Value-greedy (ours),small,13.210484531111112,0.06172010023958772,200,0.42280941797123706,14.091848755801857,15.32771758941013,17.129129968681863,0.08062967146929494,3086,20.0,2.0,True,80000,0
Value-greedy (ours),operational,22.197338734166667,29.981995484358475,63725,132.13416060250563,15484.804986888135,15484.804986888135,16429.498723740213,0.0,3999,7495.498871089619,0.005336536058231066,True,80000,0
Value-greedy (ours),small,22.197338734166667,0.05917778958908189,100,0.2608034397758614,19.08,19.567241150239745,20.303294531451026,0.024900860908221446,2958,20.0,2.0,True,80000,0
Value-greedy (ours),operational,23.749109346666668,38.801440841933804,59961,115.08654772785883,3561.8498952187906,3561.8498952187906,3954.1804143237373,0.0,4000,9700.36021048345,0.00412355821145393,True,80000,0
Value-greedy (ours),small,23.749109346666668,0.058664433632272424,100,0.17400093900254876,9.1,9.602561604924857,10.322585979616004,0.052336202109560914,2933,20.0,2.0,True,80000,0
Value-greedy (ours),operational,35.282123580833336,47.590179273542404,41575,78.37805779165807,1096.14,1096.14,1096.139999999678,0.0,4000,11897.5448183856,0.003362038186079107,True,80000,0
Value-greedy (ours),small,35.282123580833336,0.19664128684275714,200,0.32385593791944545,3.63,3.63,3.7599999999999625,0.0,436,450.0,2.0,True,80000,0
FIFO,operational,0.09089067972222223,24.870337162528504,358,0.8536980424956467,151.46,151.4600000000004,151.45999999999776,2.6271222238588078e-15,4000,6217.584290632126,0.006433366743458061,True,80000,0
FIFO,small,0.09089067972222223,1.6028053068216708,25,0.05501782078760457,9.2,9.2,9.199999999999996,0.0,80140,20.0,2.0,True,80000,0
FIFO,operational,11.60635736611111,60.079759210938946,43629,104.45193923394734,11986.12,11986.12,20936.06999995549,0.0,4000,15019.939802734736,0.002663126518837116,True,80000,0
FIFO,small,11.60635736611111,0.06800605168203416,100,0.11823223113948797,13.3,33.55000000000006,33.59810145838775,0.6035767511177355,3400,20.0,2.0,True,80000,0
FIFO,operational,13.210484531111112,8.577590168261082,24552,58.767046392034906,1787.02,6714.061161086899,11363.41606554562,0.7338391835991691,4000,2144.3975420652705,0.018653257717072356,True,80000,0
FIFO,small,13.210484531111112,0.053976087903860784,200,0.3698026135177075,21.17,107.65967726485714,110.66560002398688,0.803361847835388,2698,20.0,2.0,True,80000,0
FIFO,operational,22.197338734166667,29.981995484358475,54905,132.16946506439706,6158.83,11439.823493420121,26121.48668280191,0.4616324278480001,3999,7495.498871089619,0.005336536058231066,True,80000,0
FIFO,small,22.197338734166667,0.03679520295038704,100,0.1622040898987427,3.14,35.92327008862597,39.0505754779038,0.9125914764370466,1839,20.0,2.0,True,80000,0
