image,quality,bytes,psnr_db,ships,found,n_pred
3522d78c7.jpg,q60,101059,36.05089675216779,1,1,1
3522d78c7.jpg,q40,82353,33.92289255170978,1,1,1
3522d78c7.jpg,q30,72537,32.66231882795784,1,1,1
3522d78c7.jpg,q20,58266,30.813468837158112,1,1,1
359675a23.jpg,original,210157,inf,1,1,1
359675a23.jpg,q60,80741,37.59760274465342,1,1,1
359675a23.jpg,q40,65874,35.580078787015275,1,1,1
359675a23.jpg,q30,57705,34.206328455410166,1,1,1
359675a23.jpg,q20,45349,32.38037049048591,1,1,1
3612dbf3d.jpg,original,185307,inf,12,3,3
3612dbf3d.jpg,q60,71402,38.609361928976604,12,2,2
3612dbf3d.jpg,q40,58040,36.36958308700349,12,3,3
3612dbf3d.jpg,q30,50949,35.00422914104413,12,2,3
3612dbf3d.jpg,q20,39187,32.63109980282312,12,2,3
3618853e6.jpg,original,310897,inf,1,0,0
3618853e6.jpg,q60,108756,28.813088827969825,1,0,0
3618853e6.jpg,q40,85687,27.17316114244177,1,0,0
3618853e6.jpg,q30,73375,26.560378130927123,1,0,0
3618853e6.jpg,q20,54855,25.552839459650343,1,0,0
3628f44bb.jpg,original,163134,inf,0,0,0
3628f44bb.jpg,q60,59849,39.049477693268614,0,0,0
3628f44bb.jpg,q40,47723,36.80310517913028,0,0,0
3628f44bb.jpg,q30,40974,35.48655599481309,0,0,0
3628f44bb.jpg,q20,30974,33.3939730796188,0,0,0
3679c695e.jpg,original,321306,inf,1,0,1
3679c695e.jpg,q60,123711,27.892026515195482,1,0,1
3679c695e.jpg,q40,98069,25.463811519750365,1,0,1
3679c695e.jpg,q30,86167,24.420934555501603,1,0,0
3679c695e.jpg,q20,64403,22.728016068591824,1,0,2
371371749.jpg,original,129983,inf,2,2,2
371371749.jpg,q60,33561,35.98467881163479,2,2,2
371371749.jpg,q40,26535,34.09288661620657,2,2,2
