product,quality,bytes,psnr,n_ships
thumbnail 96px,30,1102,,
thumbnail 96px,60,1468,,
thumbnail 96px,80,2115,,
thumbnail 128px,30,1504,,
thumbnail 128px,60,2328,,
thumbnail 128px,80,3586,,
whole tile,30,55557,33.92608479859598,
whole tile,40,64168,35.196885020529265,
whole tile,50,73706,36.49920424129052,
whole tile,60,79393,37.213537909345035,
whole tile,80,121598,43.76106421543138,
ROI mosaic x1.5,60,1417,,2.0
ROI mosaic x1.5,80,1481,,2.0
thumbnail 48px,30,686,,
thumbnail 48px,60,709,,
thumbnail 48px,80,761,,
thumbnail 64px,30,726,,
thumbnail 64px,60,765,,
thumbnail 64px,80,834,,
thumbnail 96px,30,830,,
thumbnail 96px,60,881,,
thumbnail 96px,80,1004,,
thumbnail 128px,30,959,,
thumbnail 128px,60,1044,,
thumbnail 128px,80,1250,,
whole tile,30,16502,37.96817050727246,
whole tile,40,22160,39.42011744694749,
whole tile,50,29072,40.81598439176972,
whole tile,60,30340,40.985044735476336,
whole tile,80,62410,48.75055098910327,
ROI mosaic x1.5,60,1196,,1.0
ROI mosaic x1.5,80,1511,,1.0
thumbnail 48px,30,683,,
thumbnail 48px,60,736,,
thumbnail 48px,80,850,,
thumbnail 64px,30,727,,
thumbnail 64px,60,868,,
thumbnail 64px,80,1106,,
thumbnail 96px,30,957,,
thumbnail 96px,60,1438,,
thumbnail 96px,80,2218,,
thumbnail 128px,30,1454,,
thumbnail 128px,60,2493,,
thumbnail 128px,80,4240,,
whole tile,30,66168,33.07866067390388,
whole tile,40,74970,34.35777048880494,
whole tile,50,85973,35.636602538904164,
whole tile,60,92027,36.427270075161914,
whole tile,80,139501,43.4746913120493,
