image,context,cloud_frac,edge_density,big_blob_frac,n_candidates,prefilter_ms,n_fp_0.05,n_tp_0.05,n_fp_0.25,n_tp_0.25,n_fp_0.4,n_tp_0.4,n_ships,ctx3
571d65401.jpg,candidates,0.0,0.0,0.0,1,83.95089989062399,0,3,0,2,0,0,1,ships
573cd511c.jpg,land_coast,0.0,0.2984347873263889,0.0,34,102.33340004924685,0,2,0,2,0,2,2,coast
57468bf12.jpg,land_coast,0.0,0.22125413682725695,0.0,5,91.8453000485897,0,1,0,1,0,1,1,coast
575f08435.jpg,candidates,0.0,0.022335476345486112,0.0,22,74.44929995108396,0,3,0,2,0,2,2,ships
57610d682.jpg,candidates,0.0,5.255805121527778e-05,0.0,1,87.54069998394698,0,3,0,1,0,0,1,ships
576c9af90.jpg,candidates,0.0,0.058127509223090276,0.0,20,82.18469994608313,0,0,0,0,0,0,0,empty
5775eda78.jpg,candidates,0.0,0.013422648111979166,0.028018527560763888,73,90.00349999405444,0,1,0,1,0,1,1,ships
577f495a3.jpg,candidates,0.0,0.00011867947048611111,0.0,1,94.93420005310327,0,1,0,1,0,1,1,ships
579710af7.jpg,candidates,0.0,0.0005713568793402778,0.0,4,85.07519995328039,0,1,0,1,0,1,1,ships
5799a1c0d.jpg,candidates,0.0,0.0006832546657986111,0.010187784830729166,75,89.43600009661168,2,0,0,0,0,0,0,empty
579edd68a.jpg,candidates,0.0,0.0,0.0,28,79.43929999601096,0,0,0,0,0,0,0,empty
57af469c2.jpg,candidates,0.0,0.0,0.0,16,104.57650001626462,0,0,0,0,0,0,0,empty
57da7c3ba.jpg,land_coast,0.0,0.1284908718532986,0.0,3,101.86569998040795,2,6,0,0,0,0,1,coast
57db7dee0.jpg,candidates,0.0,0.001178317599826389,0.0,5,96.53400001116097,0,3,0,3,0,3,3,ships
57e141421.jpg,empty_sea,0.0,0.0,0.0,0,74.00980009697378,0,0,0,0,0,0,0,empty
580460a3c.jpg,land_coast,0.0,0.0314483642578125,0.117034912109375,43,86.31959999911487,2,1,0,1,0,1,1,coast
58132f5da.jpg,land_coast,0.0,0.20502217610677084,0.014940049913194444,22,98.64109999034554,0,0,0,0,0,0,2,coast
582294c70.jpg,land_coast,0.0,0.2972089979383681,0.0,0,83.61850003711879,0,0,0,0,0,0,0,coast
582793043.jpg,candidates,0.0,0.033294677734375,0.0,103,85.38950001820922,2,1,0,1,0,1,1,ships
583975b3c.jpg,land_coast,0.0,0.005830552842881944,0.1404266357421875,44,82.40099996328354,8,8,1,6,0,3,6,coast
58478be45.jpg,candidates,0.0,0.03425767686631945,0.031624688042534724,85,97.01060003135353,0,1,0,1,0,1,1,ships
5857a91a0.jpg,candidates,0.0,0.012539333767361112,0.0,172,92.1658999286592,0,3,0,1,0,0,1,ships
585d347ae.jpg,candidates,0.0,0.0019785563151041665,0.0,4,84.21770005952567,3,2,0,1,0,1,2,ships
585def405.jpg,candidates,0.0,0.015004475911458334,0.0,62,84.95789999142289,1,2,0,1,0,0,1,ships
586c3b15d.jpg,candidates,0.0,0.021045260959201388,0.0,46,81.06659993063658,0,2,0,0,0,0,1,ships
587e9ce0c.jpg,candidates,0.0,9.663899739583333e-05,0.0,1,78.21950002107769,0,1,0,1,0,1,1,ships
587f05106.jpg,candidates,0.0,0.00026109483506944444,0.0,2,92.41539996583015,0,1,0,1,0,1,1,ships
5882eaf47.jpg,candidates,0.0,0.002449883355034722,0.0,1,88.97149993572384,0,2,0,1,0,1,1,ships
58895f2ef.jpg,candidates,0.0,0.005989922417534722,0.0,53,120.38169999141246,0,1,0,1,0,1,1,ships
588ae766a.jpg,candidates,0.1884494357638889,0.013628900556657945,0.0240596519570829,49,87.82760007306933,17,17,1,7,0,3,6,ships
58a34c5d5.jpg,candidates,0.0,0.0,0.0,3,91.28489997237921,0,0,0,0,0,0,0,empty
58acb8a45.jpg,candidates,0.0,0.0013970269097222222,0.0,1,77.05239998176694,1,1,1,0,0,0,1,ships
58acdc0e5.jpg,candidates,0.0,0.0023752848307291665,0.0,2,82.58010004647076,0,0,0,0,0,0,0,empty
58b878cb9.jpg,candidates,0.0,0.0015174018012152778,0.04005093044704861,52,92.7490999456495,0,6,0,4,0,3,3,ships
58cab45c3.jpg,land_coast,0.0,0.2825639512803819,0.0,27,92.41419995669276,0,2,0,2,0,2,2,coast
58f8fb3e8.jpg,land_coast,0.0,0.010114881727430556,0.1924370659722222,41,113.78819996025413,3,1,0,1,0,1,1,coast
590d5161f.jpg,candidates,0.0,0.002109103732638889,0.0,11,107.70719998981804,0,2,0,2,0,2,2,ships
591cc837a.jpg,candidates,0.0,0.00035264756944444444,0.0,1,92.60119998361915,1,1,0,1,0,1,1,ships
592fea2dd.jpg,candidates,0.0,0.0012953016493055555,0.0,2,100.49860004801303,0,4,0,2,0,0,1,ships
593f1f5a8.jpg,candidates,0.003806220160590278,0.0,0.0,18,94.97890004422516,0,0,0,0,0,0,0,empty
59478f3f5.jpg,land_coast,0.0,0.07206556532118055,0.4119906955295139,19,101.61139990668744,2,2,2,1,2,0,1,coast
596092e66.jpg,land_coast,0.0,0.20071241590711805,0.0,2,104.52699998859316,14,0,4,0,1,0,1,coast
5960c09d9.jpg,land_coast,0.0,0.3003997802734375,0.0,35,102.14850003831089,0,2,0,2,0,2,2,coast
5974abe64.jpg,candidates,0.0,0.005520290798611111,0.03491550021701389,29,86.8046999676153,2,3,0,3,0,2,2,ships
59839bb17.jpg,candidates,0.0,0.006220499674479167,0.0,10,89.69699998851866,0,5,0,3,0,3,3,ships
599bd10c7.jpg,candidates,0.0,0.11289299858940972,0.0,2,97.30290004517883,0,3,0,0,0,0,1,ships
59a1be1f9.jpg,candidates,0.0,0.0006442599826388889,0.0,5,82.33699994161725,0,3,0,1,0,0,1,ships
59a39d3b7.jpg,land_coast,0.0,0.2299736870659722,0.0,2,107.35429998021573,0,0,0,0,0,0,0,coast
59a589dff.jpg,empty_sea,0.0,0.0,0.0,0,111.89699999522418,0,0,0,0,0,0,0,empty
59bb7d5b8.jpg,candidates,0.0,0.0037824842664930555,0.0,3,86.89040003810078,0,1,0,1,0,1,1,ships
59bf5d1b7.jpg,candidates,0.0,0.030760023328993056,0.0,60,107.15679998975247,0,1,0,1,0,1,1,ships
59c472665.jpg,candidates,0.0,0.07233683268229167,0.0,46,137.82940001692623,0,2,0,1,0,1,1,ships
59c89fe1a.jpg,candidates,0.0,0.0011545817057291667,0.0,3,79.5660000294447,0,1,0,1,0,1,1,ships
59d82efa5.jpg,candidates,0.0,0.012556287977430556,0.0,2,88.30070006661117,0,0,0,0,0,0,0,empty
59e406b7e.jpg,candidates,0.0,0.00030517578125,0.0,19,93.92720006871969,0,2,0,1,0,1,1,ships
59f0b98e7.jpg,land_coast,0.0,0.2141944037543403,0.011372884114583334,0,83.6211999412626,0,0,0,0,0,0,0,coast
59f4e4cf9.jpg,candidates,0.0,0.00038825141059027775,0.0,1,75.3643000498414,2,4,0,1,0,0,2,ships
5a04ee754.jpg,land_coast,0.0,0.3127254909939236,0.0,0,88.6434999993071,0,0,0,0,0,0,0,coast
5a167eb1f.jpg,land_coast,0.0,0.2997385660807292,0.0,8,82.853400032036,2,4,1,3,0,3,3,coast
5a243dfc1.jpg,candidates,0.0,0.0,0.0,1,79.08890000544488,0,0,0,0,0,0,1,ships
5a324478f.jpg,empty_sea,0.0,0.0,0.0,0,93.0497000226751,0,0,0,0,0,0,0,empty
5a51097a5.jpg,candidates,0.0,0.0031721327039930555,0.0,3,81.62880002055317,0,1,0,1,0,1,1,ships
5a515f355.jpg,candidates,0.0,0.0016394721137152778,0.0,7,82.83189998473972,1,5,0,2,0,1,2,ships
5a5775ea1.jpg,land_coast,0.0,0.3376990424262153,0.0,0,90.9516999963671,0,1,0,1,0,1,1,coast
5a5dd5955.jpg,land_coast,0.0,0.2627699110243056,0.13825480143229166,51,102.2510000038892,0,4,0,1,0,0,1,coast
5a5e8d038.jpg,candidates,0.0,0.0060272216796875,0.0,8,92.13600005023181,0,4,0,2,0,2,2,ships
5a6a1958b.jpg,candidates,0.0,0.0010613335503472222,0.0,3,87.10190001875162,0,3,0,2,0,1,2,ships
5a92876a4.jpg,candidates,0.0,0.007185194227430556,0.0,36,84.95659998152405,0,1,0,1,0,1,1,ships
5aaccbeb9.jpg,land_coast,0.0,0.22495015462239584,0.0,18,86.00590005517006,1,1,0,1,0,1,1,coast
5acfea976.jpg,candidates,0.0,0.032706366644965276,0.0,80,90.0942999869585,5,2,2,2,0,2,2,ships
5ad76b591.jpg,empty_sea,0.0,0.0,0.0,0,74.19169996865094,0,0,0,0,0,0,0,empty
5ae8a36e7.jpg,candidates,0.0,0.0005289713541666666,0.0,6,90.48240003176033,0,2,0,1,0,0,1,ships
