image,size_px,straddles,found_whole,found_grid,found_sahi,found_edge,slices_whole,slices_grid,slices_sahi,slices_edge
beddd60c7.jpg,32.000256,False,True,True,True,True,1.0,4.0,9.0,6.0
bf861b8d7.jpg,79.00032,False,True,True,True,True,1.0,4.0,9.0,4.0
c04440f78.jpg,24.0,False,False,True,True,True,,,,
c04440f78.jpg,37.999872,False,True,False,True,False,1.0,4.0,9.0,6.0
c0a2aa92f.jpg,25.999872000000003,False,True,False,False,False,1.0,4.0,9.0,4.0
c0e45f5b0.jpg,192.99993600000002,False,True,True,True,True,,,,
c0e45f5b0.jpg,74.999808,False,True,True,True,True,,,,
c0e45f5b0.jpg,171.999744,False,True,True,True,True,1.0,4.0,9.0,8.0
c4a8edd30.jpg,85.999872,False,True,True,True,True,1.0,4.0,9.0,4.0
c5e525fea.jpg,15.999744,False,True,True,True,True,1.0,4.0,9.0,4.0
c670f06d8.jpg,263.00006399999995,True,True,False,True,True,,,,
c670f06d8.jpg,74.999808,True,True,False,True,True,,,,
c670f06d8.jpg,74.999808,True,True,True,True,True,1.0,4.0,9.0,6.0
c6ad8f468.jpg,24.0,False,True,True,True,True,,,,
c6ad8f468.jpg,64.99968,False,True,True,True,True,,,,
c6ad8f468.jpg,52.99968,False,True,True,True,True,1.0,4.0,9.0,4.0
c76da3b19.jpg,100.99967999999998,False,True,True,True,True,1.0,4.0,9.0,6.0
c791d559e.jpg,19.000320000000002,False,True,True,True,True,1.0,4.0,9.0,4.0
c7e07fca0.jpg,24.0,False,True,True,True,True,,,,
c7e07fca0.jpg,20.000256,False,True,True,True,True,1.0,4.0,9.0,6.0
cf7cec252.jpg,11.000064,False,False,False,False,False,1.0,4.0,9.0,6.0
cfd05d1c9.jpg,152.000256,True,True,True,True,True,1.0,4.0,9.0,6.0
cfd639214.jpg,80.000256,False,True,True,True,True,1.0,4.0,9.0,4.0
d20b85754.jpg,266.99980800000003,True,True,False,True,True,1.0,4.0,9.0,6.0
d2ae3203b.jpg,190.00012800000002,False,True,True,True,True,1.0,4.0,9.0,4.0
d3a2d2f2a.jpg,42.000384,False,True,True,True,True,,,,
d3a2d2f2a.jpg,31.00032,False,False,True,True,True,,,,
d3a2d2f2a.jpg,51.99974400000001,False,True,True,True,True,,,,
d3a2d2f2a.jpg,19.000320000000002,False,True,True,True,True,,,,
d3a2d2f2a.jpg,12.999936000000002,False,False,False,False,False,,,,
d3a2d2f2a.jpg,24.999935999999998,False,False,False,False,False,,,,
d3a2d2f2a.jpg,118.000128,False,True,True,True,True,1.0,4.0,9.0,8.0
d41a86c8c.jpg,12.999936000000002,False,True,True,True,True,1.0,4.0,9.0,6.0
d4b10112b.jpg,5.9996160000000005,False,False,False,False,False,1.0,4.0,9.0,4.0
d7bed5c3c.jpg,36.999936,False,True,True,True,True,1.0,4.0,9.0,4.0
d90fea18e.jpg,91.00032,False,True,True,True,True,,,,
d90fea18e.jpg,10.000128,False,True,True,True,True,,,,
